"",".metric",".estimator",".estimate","model"
"1","accuracy","multiclass",0.994851258581236,"baseline"
"2","kap","multiclass",0.989672435275474,"baseline"
"3","accuracy","multiclass",0.980549199084668,"20211121"
"4","kap","multiclass",0.960627370443366,"20211121"
"5","accuracy","multiclass",0.969662278191185,"20220111"
"6","kap","multiclass",0.938218752231114,"20220111"
"7","accuracy","multiclass",0.969679633867277,"20220212"
"8","kap","multiclass",0.937687487725019,"20220212"
"9","accuracy","multiclass",0.975400457665904,"20220401"
"10","kap","multiclass",0.949075466738212,"20220401"
"11","accuracy","multiclass",0.971395881006865,"20220620"
"12","kap","multiclass",0.942577671255197,"20220620"
"13","accuracy","multiclass",0.964530892448513,"20220722"
"14","kap","multiclass",0.928762707564,"20220722"
"15","accuracy","multiclass",0.975400457665904,"20220807"
"16","kap","multiclass",0.949445925623014,"20220807"
"17","accuracy","multiclass",0.974828375286041,"20220823"
"18","kap","multiclass",0.948239718371091,"20220823"
"19","accuracy","multiclass",0.976544622425629,"20220908"
"20","kap","multiclass",0.951987866331347,"20220908"
"21","accuracy","multiclass",0.97883295194508,"20220924"
"22","kap","multiclass",0.958048526094159,"20220924"
"23","accuracy","multiclass",0.975400457665904,"20221010"
"24","kap","multiclass",0.950069816166262,"20221010"
"25","accuracy","multiclass",0.968535469107552,"20221111"
"26","kap","multiclass",0.935494000284487,"20221111"
"27","accuracy","multiclass",0.967391304347826,"20221229"
"28","kap","multiclass",0.933284319042855,"20221229"
"29","accuracy","multiclass",0.97424155695478,"20230303"
"30","kap","multiclass",0.946726110609646,"20230303"
"31","accuracy","multiclass",0.983409610983982,"20230319"
"32","kap","multiclass",0.966502854975442,"20230319"
"33","accuracy","multiclass",0.981121281464531,"20230404"
"34","kap","multiclass",0.960812899325075,"20230404"
"35","accuracy","multiclass",0.979393245563824,"20230506"
"36","kap","multiclass",0.957324119418096,"20230506"
"37","accuracy","multiclass",0.975400457665904,"20230607"
"38","kap","multiclass",0.949936691534916,"20230607"
"39","accuracy","multiclass",0.964510589582141,"20230709"
"40","kap","multiclass",0.926250331081638,"20230709"
"41","accuracy","multiclass",0.97366914710933,"20230810"
"42","kap","multiclass",0.947258508258865,"20230810"
"43","accuracy","multiclass",0.975972540045767,"20230927"
"44","kap","multiclass",0.950460167926373,"20230927"
"45","accuracy","multiclass",0.97254004576659,"20231114"
"46","kap","multiclass",0.943304775348281,"20231114"
