"",".metric",".estimator",".estimate","model"
"1","accuracy","multiclass",0.996587268421786,"baseline"
"2","kap","multiclass",0.993332589711118,"baseline"
"3","accuracy","multiclass",0.97075005223205,"20211121"
"4","kap","multiclass",0.942574502849974,"20211121"
"5","accuracy","multiclass",0.951873519988856,"20220110"
"6","kap","multiclass",0.905172060561289,"20220110"
"7","accuracy","multiclass",0.968937177879928,"20220212"
"8","kap","multiclass",0.938753171234745,"20220212"
"9","accuracy","multiclass",0.975762641036356,"20220401"
"10","kap","multiclass",0.952439498138104,"20220401"
"11","accuracy","multiclass",0.975692993453127,"20220620"
"12","kap","multiclass",0.952240032271663,"20220620"
"13","accuracy","multiclass",0.966290569717231,"20220723"
"14","kap","multiclass",0.93369581446714,"20220723"
"15","accuracy","multiclass",0.969355063379301,"20220805"
"16","kap","multiclass",0.939873262851982,"20220805"
"17","accuracy","multiclass",0.98530435993871,"20220825"
"18","kap","multiclass",0.971275459418114,"20220825"
"19","accuracy","multiclass",0.981195152528207,"20220909"
"20","kap","multiclass",0.963272047792098,"20220909"
"21","accuracy","multiclass",0.985165064772252,"20220924"
"22","kap","multiclass",0.970900772740114,"20220924"
"23","accuracy","multiclass",0.987950968101407,"20221010"
"24","kap","multiclass",0.976408173155389,"20221010"
"25","accuracy","multiclass",0.974857222454381,"20221111"
"26","kap","multiclass",0.950509154631672,"20221111"
"27","accuracy","multiclass",0.932302549101546,"20221225"
"28","kap","multiclass",0.864225256951419,"20221225"
"29","accuracy","multiclass",0.969561886187922,"20230301"
"30","kap","multiclass",0.939798327372714,"20230301"
"31","accuracy","multiclass",0.974580402534995,"20230319"
"32","kap","multiclass",0.950068783816121,"20230319"
"33","accuracy","multiclass",0.983005989692158,"20230404"
"34","kap","multiclass",0.96686388383416,"20230404"
"35","accuracy","multiclass",0.981544675813079,"20230507"
"36","kap","multiclass",0.96391035190417,"20230507"
"37","accuracy","multiclass",0.97660004178564,"20230606"
"38","kap","multiclass",0.95424480678153,"20230606"
"39","accuracy","multiclass",0.975414403120212,"20230711"
"40","kap","multiclass",0.951945486765495,"20230711"
"41","accuracy","multiclass",0.980360749355805,"20230810"
"42","kap","multiclass",0.961719533132056,"20230810"
"43","accuracy","multiclass",0.981264800111436,"20230927"
"44","kap","multiclass",0.963311266529229,"20230927"
"45","accuracy","multiclass",0.958980430392089,"20231114"
"46","kap","multiclass",0.919242865995672,"20231114"
